symbol,portfolio,window_days,order_no,raw_no,family,cfg_idx,mode,entry_tf,fill_hour,signal,raw_outcome,effective_outcome,signal_time,fill_time,exit_time,exit_date,exit_month,entry,tp,sl,exit_price,risk_distance,spread,pnl_per_001lot,weight,pnl_weighted_full,reason
XAUUSD.iux,AF22,180,8,863,s84,6017,direct,M30,14,SELL,TP,TP,2026-06-17 14:00,2026-06-17 14:30,2026-06-17 15:00,2026-06-17,2026-06,4329.11,4322.57,4334.56,4322.57,5.45,0.13,6.41,244.089,1564.6105,oldWick side=UPPER ageRef=8576 mode=mid riskATR=0.64
XAUUSD.iux,AF34,30,1,336,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=3180 mode=rr riskATR=0.40
XAUUSD.iux,AF34,60,1,648,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=6060 mode=rr riskATR=0.40
XAUUSD.iux,AF34,90,1,959,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=8940 mode=rr riskATR=0.40
XAUUSD.iux,AF34,120,1,58,s84,889,inverse,M15,13,BUY,SL,TP,2026-01-12 13:30,2026-01-12 13:45,2026-01-12 13:45,2026-01-12,2026-01,4583.79,4587.01,4579.93,4587.01,3.22,0.13,3.09,273.83,846.1347,oldWick side=UPPER ageRef=643 mode=rr riskATR=0.41
XAUUSD.iux,AF34,120,2,1286,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=11820 mode=rr riskATR=0.40
XAUUSD.iux,AF34,150,1,123,s84,889,inverse,M15,13,BUY,TP,SL,2025-12-03 12:45,2025-12-03 13:00,2025-12-03 13:15,2025-12-03,2025-12,4208.21,4211.15,4204.68,4204.68,2.94,0.13,-3.66,273.83,-1002.2178,oldWick side=UPPER ageRef=1145 mode=rr riskATR=0.52
XAUUSD.iux,AF34,150,2,153,s84,889,inverse,M15,13,SELL,SL,TP,2025-12-08 13:00,2025-12-08 13:15,2025-12-08 13:30,2025-12-08,2025-12,4214.69,4211.59,4218.41,4211.59,3.1,0.13,2.97,273.83,813.2751,oldWick side=LOWER ageRef=1422 mode=rr riskATR=0.62
XAUUSD.iux,AF34,150,3,173,s84,889,inverse,M15,13,SELL,SL,TP,2025-12-10 12:45,2025-12-10 13:00,2025-12-10 13:45,2025-12-10,2025-12,4207.37,4204.4,4210.93,4204.4,2.97,0.13,2.84,273.83,777.6772,oldWick side=LOWER ageRef=1600 mode=rr riskATR=0.71
XAUUSD.iux,AF34,150,4,388,s84,889,inverse,M15,13,BUY,SL,TP,2026-01-12 13:30,2026-01-12 13:45,2026-01-12 13:45,2026-01-12,2026-01,4583.79,4587.01,4579.93,4587.01,3.22,0.13,3.09,273.83,846.1347,oldWick side=UPPER ageRef=3523 mode=rr riskATR=0.41
XAUUSD.iux,AF34,150,5,1616,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=14700 mode=rr riskATR=0.40
XAUUSD.iux,AF34,180,1,200,s84,889,inverse,M15,13,BUY,SL,TP,2025-11-03 13:30,2025-11-03 13:45,2025-11-03 13:45,2025-11-03,2025-11,4022.12,4025.08,4018.57,4025.08,2.96,0.13,2.83,273.83,774.9389,oldWick side=UPPER ageRef=2026 mode=rr riskATR=0.38
XAUUSD.iux,AF34,180,2,432,s84,889,inverse,M15,13,BUY,TP,SL,2025-12-03 12:45,2025-12-03 13:00,2025-12-03 13:15,2025-12-03,2025-12,4208.21,4211.15,4204.68,4204.68,2.94,0.13,-3.66,273.83,-1002.2178,oldWick side=UPPER ageRef=4025 mode=rr riskATR=0.52
