symbol,portfolio,window_days,order_no,raw_no,family,cfg_idx,mode,entry_tf,fill_hour,signal,raw_outcome,effective_outcome,signal_time,fill_time,exit_time,exit_date,exit_month,entry,tp,sl,exit_price,risk_distance,spread,pnl_per_001lot,weight,pnl_weighted_full,reason
XAUUSD.iux,AF22,30,1,131,s84,6017,direct,M30,14,SELL,TP,TP,2026-06-17 14:00,2026-06-17 14:30,2026-06-17 15:00,2026-06-17,2026-06,4329.11,4322.57,4334.56,4322.57,5.45,0.13,6.41,244.089,1564.6105,oldWick side=UPPER ageRef=1376 mode=mid riskATR=0.64
XAUUSD.iux,AF22,60,1,287,s84,6017,direct,M30,14,SELL,TP,TP,2026-06-17 14:00,2026-06-17 14:30,2026-06-17 15:00,2026-06-17,2026-06,4329.11,4322.57,4334.56,4322.57,5.45,0.13,6.41,244.089,1564.6105,oldWick side=UPPER ageRef=2816 mode=mid riskATR=0.64
XAUUSD.iux,AF22,90,1,100,s84,6017,direct,M30,14,SELL,TP,TP,2026-03-11 13:30,2026-03-11 14:00,2026-03-11 14:00,2026-03-11,2026-03,5195.74,5189.31,5201.1,5189.31,5.36,0.13,6.3,244.089,1537.7607,oldWick side=UPPER ageRef=1070 mode=mid riskATR=0.39
XAUUSD.iux,AF22,90,2,435,s84,6017,direct,M30,14,SELL,TP,TP,2026-06-17 14:00,2026-06-17 14:30,2026-06-17 15:00,2026-06-17,2026-06,4329.11,4322.57,4334.56,4322.57,5.45,0.13,6.41,244.089,1564.6105,oldWick side=UPPER ageRef=4256 mode=mid riskATR=0.64
XAUUSD.iux,AF22,120,1,244,s84,6017,direct,M30,14,SELL,TP,TP,2026-03-11 13:30,2026-03-11 14:00,2026-03-11 14:00,2026-03-11,2026-03,5195.74,5189.31,5201.1,5189.31,5.36,0.13,6.3,244.089,1537.7607,oldWick side=UPPER ageRef=2510 mode=mid riskATR=0.39
XAUUSD.iux,AF22,120,2,579,s84,6017,direct,M30,14,SELL,TP,TP,2026-06-17 14:00,2026-06-17 14:30,2026-06-17 15:00,2026-06-17,2026-06,4329.11,4322.57,4334.56,4322.57,5.45,0.13,6.41,244.089,1564.6105,oldWick side=UPPER ageRef=5696 mode=mid riskATR=0.64
XAUUSD.iux,AF22,150,1,97,s84,6017,direct,M30,14,BUY,TP,TP,2025-12-09 14:00,2025-12-09 14:30,2025-12-09 15:00,2025-12-09,2025-12,4186.21,4192.49,4180.98,4192.49,5.23,0.13,6.15,244.089,1501.1473,oldWick side=LOWER ageRef=1014 mode=mid riskATR=0.75
XAUUSD.iux,AF22,150,2,103,s84,6017,direct,M30,14,SELL,TP,TP,2025-12-10 13:30,2025-12-10 14:00,2025-12-10 15:00,2025-12-10,2025-12,4203.34,4195.42,4209.94,4195.42,6.6,0.13,7.79,244.089,1901.4533,oldWick side=UPPER ageRef=1052 mode=mid riskATR=1.04
XAUUSD.iux,AF22,150,3,136,s84,6017,direct,M30,14,BUY,TP,TP,2025-12-19 14:00,2025-12-19 14:30,2025-12-19 15:30,2025-12-19,2025-12,4325.09,4331.92,4319.4,4331.92,5.69,0.13,6.7,244.089,1635.3963,oldWick side=LOWER ageRef=1404 mode=mid riskATR=0.69
XAUUSD.iux,AF22,150,4,396,s84,6017,direct,M30,14,SELL,TP,TP,2026-03-11 13:30,2026-03-11 14:00,2026-03-11 14:00,2026-03-11,2026-03,5195.74,5189.31,5201.1,5189.31,5.36,0.13,6.3,244.089,1537.7607,oldWick side=UPPER ageRef=3950 mode=mid riskATR=0.39
