entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-09 18:00:00,2025-09-17 18:00:00,SELL,3635.5,3706.28,3493.95,3706.28,SL,-70.98,S433 AI Gold Star 123 (Coppock),
2025-09-19 18:00:00,2025-09-29 06:00:00,BUY,3684.82,3620.98,3812.49,3812.49,TP,127.47,S433 AI Gold Star 123 (Coppock),
2025-09-30 06:00:00,2025-09-30 18:00:00,SELL,3812.1,3890.91,3654.49,3859.99,FLIP,-48.09,S433 AI Gold Star 123 (Coppock),
2025-09-30 18:00:00,2025-10-01 18:00:00,BUY,3859.99,3779.15,4021.66,3862.13,FLIP,1.94,S433 AI Gold Star 123 (Coppock),
2025-10-01 18:00:00,2025-10-02 06:00:00,SELL,3862.13,3941.07,3704.24,3881.89,FLIP,-19.96,S433 AI Gold Star 123 (Coppock),
2025-10-02 06:00:00,2025-10-02 18:00:00,BUY,3881.89,3803.78,4038.11,3857.11,FLIP,-24.98,S433 AI Gold Star 123 (Coppock),
2025-10-02 18:00:00,2025-10-03 06:00:00,SELL,3857.11,3942.18,3686.96,3865.76,FLIP,-8.85,S433 AI Gold Star 123 (Coppock),
2025-10-03 06:00:00,2025-10-08 06:00:00,BUY,3865.76,3784.37,4028.54,4028.54,TP,162.58,S433 AI Gold Star 123 (Coppock),
2025-10-09 18:00:00,2025-10-12 18:00:00,SELL,3975.3,4070.68,3784.53,4042.38,FLIP,-67.28,S433 AI Gold Star 123 (Coppock),
2025-10-12 18:00:00,2025-10-16 06:00:00,BUY,4042.38,3946.35,4234.44,4234.44,TP,191.86,S433 AI Gold Star 123 (Coppock),
2025-10-17 18:00:00,2025-10-19 18:00:00,SELL,4247.61,4400.21,3942.4,4256.07,FLIP,-8.66,S433 AI Gold Star 123 (Coppock),
2025-10-19 18:00:00,2025-10-20 06:00:00,BUY,4256.07,4116.34,4535.53,4254.68,FLIP,-1.59,S433 AI Gold Star 123 (Coppock),
2025-10-20 06:00:00,2025-10-20 18:00:00,SELL,4254.68,4393.34,3977.36,4367.27,FLIP,-112.79,S433 AI Gold Star 123 (Coppock),
2025-10-20 18:00:00,2025-10-21 06:00:00,BUY,4367.27,4217.39,4667.04,4253.81,FLIP,-113.66,S433 AI Gold Star 123 (Coppock),
2025-10-21 06:00:00,2025-10-28 06:00:00,SELL,4253.81,4416.6,3928.23,3928.23,TP,325.38,S433 AI Gold Star 123 (Coppock),
2025-10-29 06:00:00,2025-10-29 18:00:00,BUY,4016.2,3817.63,4413.34,3952.84,FLIP,-63.56,S433 AI Gold Star 123 (Coppock),
2025-10-29 18:00:00,2025-10-30 06:00:00,SELL,3952.84,4149.27,3559.99,3974.42,FLIP,-21.78,S433 AI Gold Star 123 (Coppock),
2025-10-30 06:00:00,2025-11-14 18:00:00,BUY,3974.42,3791.52,4340.23,4084.97,FLIP,110.35,S433 AI Gold Star 123 (Coppock),
2025-11-14 18:00:00,2025-11-24 06:00:00,SELL,4084.97,4203.22,3848.47,4070.0,FLIP,14.77,S433 AI Gold Star 123 (Coppock),
2025-11-24 06:00:00,2025-12-02 06:00:00,BUY,4070.0,3951.25,4307.5,4205.37,FLIP,135.17,S433 AI Gold Star 123 (Coppock),
2025-12-02 06:00:00,2025-12-10 18:00:00,SELL,4205.37,4290.27,4035.57,4232.47,FLIP,-27.3,S433 AI Gold Star 123 (Coppock),
