Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1813,686,1127,0,-433.68,-433.68
2025-04,4814,1796,3018,0,-3614.58,-4048.2599999999998
2025-05,5262,1903,3359,0,-6546.34,-10594.6
2025-06,5437,2007,3430,0,-3722.26,-14316.86
2025-07,6138,2284,3854,0,-2266.21,-16583.07
2025-08,5963,2204,3759,0,209.34000000000012,-16373.73
2025-09,5158,1944,3214,0,1095.46,-15278.27
2025-10,5018,1804,3214,0,-5012.47,-20290.74
2025-11,5035,2047,2988,0,567.8299999999999,-19722.910000000003
2025-12,5618,2427,3191,0,5728.43,-13994.480000000003
2026-01,4229,1743,2486,0,-2547.04,-16541.520000000004
2026-02,4867,1987,2877,0,-4000.8199999999997,-20542.340000000004
2026-03,4876,2016,2860,0,4391.81,-16150.530000000002
2026-04,5212,2007,3205,0,-7864.86,-24015.390000000003
2026-05,5464,2224,3240,0,-3938.6,-27953.99
2026-06,5350,2074,3275,0,1777.5200000000002,-26176.47
2026-07,6159,2433,3720,0,3094.64,-23081.83
2026-08,5040,1913,3119,0,1002.09,-22079.74
2026-09,3455,1325,2076,0,5204.73,-16875.010000000002
