target_af,window_days,component_no,component_name,family,entry_tf,mode,rd_min,rd_max,fill_hour,weight,orders,pnl_per_001lot,pnl_weighted_full,lot_max,max_dd_pct,skipped_by_cb,ambiguous,m1_sl,m1_tp,unresolved
AF22,30,1,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,s84,M15,inverse,4.0,5.0,17,172.759,4,16.59,2866.07181,0.01,0.0,0,80,39,35,6
AF22,30,2,AMBFIX_DIR_S84_RD2.7_3.4_H10,s84,M15,direct,2.7,3.4,10,196.726,6,-18.22,-3584.34772,0.02,1.82,3,80,39,35,6
AF22,30,3,AMBFIX_DIR_S84_RD2.7_3.4_H12,s84,M15,direct,2.7,3.4,12,123.035,8,19.62,2413.9467,0.02,0.64,0,80,39,35,6
AF22,30,4,AMBFIX_DIR_S84_RD5.0_7.0_H17,s84,M15,direct,5.0,7.0,17,92.141,5,25.03,2306.28923,0.01,0.0,0,80,39,35,6
AF22,30,5,AMBFIX_INV_S84_RD3.4_4.0_H11,s84,M15,inverse,3.4,4.0,11,325.852,3,10.96,3571.33792,0.01,0.0,0,80,39,35,6
AF22,30,6,AMBFIX_DIR_S84_RD5.0_7.0_H14,s84,M15,direct,5.0,7.0,14,222.36,2,9.65,2145.774,0.01,0.0,0,80,39,35,6
AF22,30,7,AMBFIX_INV_S84_RD4.0_5.0_H22,s84,M15,inverse,4.0,5.0,22,258.309,5,4.44,1146.89196,0.01,0.85,0,80,39,35,6
AF22,30,8,AMBFIX_DIR_S84_RD5.0_7.0_H15,s84,M15,direct,5.0,7.0,15,116.366,4,10.98,1277.69868,0.01,0.55,0,80,39,35,6
AF22,30,9,AMBFIX_INV_S84_RD3.4_4.0_H19,s84,M15,inverse,3.4,4.0,19,232.335,5,3.53,820.14255,0.01,0.35,0,80,39,35,6
AF22,30,10,AMBFIX_DIR_S84_RD5.0_7.0_H11,s84,M15,direct,5.0,7.0,11,212.057,2,9.42,1997.57694,0.01,0.0,0,80,39,35,6
AF22,30,11,AMBFIX_DIR_S84_RD3.4_4.0_H22,s84,M15,direct,3.4,4.0,22,274.789,4,4.86,1335.47454,0.01,0.4,0,80,39,35,6
AF22,30,12,AMBFIX_DIR_S84_RD5.0_7.0_H20,s84,M15,direct,5.0,7.0,20,54.139,8,30.34,1642.57726,0.01,0.52,0,80,39,35,6
