timestamp,rank,label,add_leg,add_weight,leg_a,weight_a,leg_b,weight_b,beats_s83,floor_flags,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 16:11:02,4,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.98,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.98,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.98,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.915048, 412.99186, -999.9079, 4.195635, -3)",441.92,412.99,4.196,3,-999.91,0.19,55.01,9779,90,451.48,4.49,3,-984.09,3352.32,6565.85,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16;S89_D1_INV_NO17_RISK20:1114.27
2026-07-03 16:11:02,4,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.98,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.98,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.98,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.915048, 412.99186, -999.9079, 4.195635, -3)",441.92,412.99,4.196,3,-999.91,0.19,55.01,9779,120,488.5,4.684,3,-984.09,5771.9,8758.34,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57;S89_D1_INV_NO17_RISK20:1572.35
2026-07-03 16:11:02,4,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.98,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.98,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.98,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.915048, 412.99186, -999.9079, 4.195635, -3)",441.92,412.99,4.196,3,-999.91,0.19,55.01,9779,150,414.68,4.304,3,-998.76,5771.9,10490.11,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84;S89_D1_INV_NO17_RISK20:1778.44
2026-07-03 16:11:02,4,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.98,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.98,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.98,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.915048, 412.99186, -999.9079, 4.195635, -3)",441.92,412.99,4.196,3,-999.91,0.19,55.01,9779,180,412.99,4.196,3,-999.91,5771.9,12487.24,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03;S89_D1_INV_NO17_RISK20:2089.31
2026-07-03 16:11:02,5,S82+S88_D1_INV_NO17x14.42+S89_D1_INV_NO17_RISK20x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.42+10,S88_D1_INV_NO17,14.42,S89_D1_INV_NO17_RISK20,10.0,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.908203, 412.992229, -999.9079, 4.195962, -3)",441.91,412.99,4.196,3,-999.91,0.19,55.01,9779,90,451.46,4.49,3,-983.61,3351.62,6565.92,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5955.03;S89_D1_INV_NO17_RISK20:1116.50
2026-07-03 16:11:02,5,S82+S88_D1_INV_NO17x14.42+S89_D1_INV_NO17_RISK20x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.42+10,S88_D1_INV_NO17,14.42,S89_D1_INV_NO17_RISK20,10.0,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.908203, 412.992229, -999.9079, 4.195962, -3)",441.91,412.99,4.196,3,-999.91,0.19,55.01,9779,120,488.5,4.684,3,-983.61,5771.33,8758.45,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5253.93;S89_D1_INV_NO17_RISK20:1575.50
2026-07-03 16:11:02,5,S82+S88_D1_INV_NO17x14.42+S89_D1_INV_NO17_RISK20x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.42+10,S88_D1_INV_NO17,14.42,S89_D1_INV_NO17_RISK20,10.0,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.908203, 412.992229, -999.9079, 4.195962, -3)",441.91,412.99,4.196,3,-999.91,0.19,55.01,9779,150,414.68,4.304,3,-998.76,5771.33,10490.27,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5694.89;S89_D1_INV_NO17_RISK20:1782.00
2026-07-03 16:11:02,5,S82+S88_D1_INV_NO17x14.42+S89_D1_INV_NO17_RISK20x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.42+10,S88_D1_INV_NO17,14.42,S89_D1_INV_NO17_RISK20,10.0,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.908203, 412.992229, -999.9079, 4.195962, -3)",441.91,412.99,4.196,3,-999.91,0.19,55.01,9779,180,412.99,4.196,3,-999.91,5771.33,12487.45,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5941.91;S89_D1_INV_NO17_RISK20:2093.50
2026-07-03 16:11:02,6,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.97,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.97,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.97,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.902787, 412.98023, -999.9079, 4.195538, -3)",441.9,412.98,4.196,3,-999.91,0.19,55.01,9779,90,451.47,4.49,3,-984.09,3352.32,6565.65,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16;S89_D1_INV_NO17_RISK20:1113.15
2026-07-03 16:11:02,6,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.97,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.97,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.97,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.902787, 412.98023, -999.9079, 4.195538, -3)",441.9,412.98,4.196,3,-999.91,0.19,55.01,9779,120,488.49,4.684,3,-984.09,5771.9,8758.05,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57;S89_D1_INV_NO17_RISK20:1570.77
2026-07-03 16:11:02,6,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.97,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.97,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.97,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.902787, 412.98023, -999.9079, 4.195538, -3)",441.9,412.98,4.196,3,-999.91,0.19,55.01,9779,150,414.67,4.304,3,-998.76,5771.9,10489.75,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84;S89_D1_INV_NO17_RISK20:1776.65
2026-07-03 16:11:02,6,S82+S88_D1_INV_NO17x14.43+S89_D1_INV_NO17_RISK20x9.97,S88_D1_INV_NO17+S89_D1_INV_NO17_RISK20,14.43+9.97,S88_D1_INV_NO17,14.43,S89_D1_INV_NO17_RISK20,9.97,True,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(1, 1, 441.902787, 412.98023, -999.9079, 4.195538, -3)",441.9,412.98,4.196,3,-999.91,0.19,55.01,9779,180,412.98,4.196,3,-999.91,5771.9,12486.82,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03;S89_D1_INV_NO17_RISK20:2087.22
