date,trades,net_profit
2025-10-15,1,8.56
2025-10-16,1,-12.3
2025-11-07,1,5.21
2025-11-12,1,7.66
2025-11-17,1,-9.7
2025-11-28,1,4.49
2025-12-01,1,-13.12
2025-12-02,1,28.37
2025-12-04,1,7.97
2025-12-05,1,26.31
2025-12-11,1,-18.46
2025-12-12,2,21.589999999999996
2025-12-18,1,4.38
2026-01-09,1,6.28
2026-01-10,1,-13.0
2026-01-14,1,8.46
2026-01-16,1,-23.4
2026-01-19,1,-9.53
2026-01-22,1,9.81
2026-01-23,2,11.389999999999999
2026-01-27,1,23.58
2026-01-28,1,-28.31
2026-02-05,1,36.11
2026-02-10,1,19.74
2026-02-16,1,-11.9
2026-03-04,1,15.41
2026-03-05,2,51.13
2026-03-06,1,58.88
2026-03-10,2,-29.950000000000003
2026-03-11,1,-16.99
2026-03-16,1,-16.04
2026-03-24,1,26.87
2026-03-25,1,15.61
2026-03-31,1,-16.71
2026-04-07,1,-17.19
2026-04-10,1,47.21
2026-04-13,1,6.97
2026-04-21,1,15.2
2026-04-24,1,8.28
2026-04-28,1,17.04
2026-04-29,1,6.62
2026-05-04,1,-8.62
2026-05-07,1,43.44
2026-05-14,3,27.439999999999998
2026-05-18,1,14.19
2026-05-21,1,-15.53
2026-05-22,2,-4.27
2026-05-27,1,-7.59
2026-05-28,1,-14.34
2026-05-29,3,8.069999999999999
2026-06-03,1,14.86
2026-06-16,1,-7.03
2026-06-17,1,8.96
2026-06-18,3,151.63
2026-06-25,2,61.67
2026-06-29,1,-13.32
2026-07-01,1,33.4
2026-07-02,1,19.14
2026-07-07,1,-8.25
