label,days,date,total,S208_M1,S2010_M1_ALL,S2010_M1_DM,S2010_M1_SP,S2010_M1_FSP,S2010_M5_ALL,S2010_M5_DM,S2010_M5_SP,S2010_M5_FSP,S2010_M15_ALL,S2010_M15_DM,S2010_M15_SP,S2010_M15_FSP,S2010_H1_ALL,S2010_H1_DM,S2010_H1_SP,S2010_H1_FSP,other_total
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_DMx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_DMx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_DMx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_SPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_SPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_SPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_SPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_FSPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_FSPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_FSPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M5_FSPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_ALLx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_ALLx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_ALLx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_ALLx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_DMx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_DMx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_DMx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_DMx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_SPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_SPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_SPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_SPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_FSPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_FSPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_FSPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M15_FSPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_ALLx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_ALLx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_ALLx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_ALLx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_FSPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_FSPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_FSPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_FSPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.25,120,2026-03-09,-966.5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.565,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.5,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.5,120,2026-03-05,-965.4263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.4263
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.5,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_SPx0.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.75,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.75,120,2026-03-05,-965.4263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.4263
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.75,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_H1_DMx0.75,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
