label,days,date,total,base_s87,overlay,weight
S110,90,2026-06-12,-999.9058,-999.9058,0.0,0.0
S110,120,2026-03-17,-981.8881,-981.8881,0.0,0.0
S110,150,2025-11-25,-999.9093,-999.9093,0.0,0.0
S110,180,2026-06-17,-999.9089,-999.9089,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.78,90,2026-06-12,-999.9058,-999.9058,0.0,186.78
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.78,120,2026-03-17,-981.8881,-981.8881,0.0,186.78
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.78,150,2025-11-25,-999.9093,-999.9093,0.0,186.78
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.78,180,2026-04-16,-999.9723,109.501,-1109.4732,186.78
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.77,90,2026-06-12,-999.9058,-999.9058,0.0,186.77
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.77,120,2026-03-17,-981.8881,-981.8881,0.0,186.77
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.77,150,2025-11-25,-999.9093,-999.9093,0.0,186.77
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin1.3_rd2_hfrom11_hbefore12x186.77,180,2026-04-16,-999.9129,109.501,-1109.4138,186.77
