date,trades,net_profit
2026-03-09,1,26.5
2026-03-10,1,10.03
2026-03-16,2,33.36
2026-03-17,1,-4.6
2026-03-20,1,-4.9
2026-03-21,1,-6.77
2026-04-07,1,16.49
2026-04-08,1,-4.68
2026-04-13,1,-4.37
2026-04-15,1,4.59
2026-04-21,1,4.01
2026-05-11,1,-5.03
2026-05-19,1,5.57
2026-05-21,2,4.54
2026-05-25,1,-1.7
2026-06-04,3,-0.46999999999999975
2026-06-16,1,-3.69
2026-06-23,1,-12.94
2026-07-09,2,-7.17
